 "X",  "Y",  "Z",  "U",  "V",  "W",  "exx",  "eyy",  "exy",  "e1",  "e2",  "gamma",  "sigma",  "x",  "y",  "u",  "v",  "q",  "r",  "q_ref",  "r_ref"
-60,43.3166,3.56657,-1.70735,-3.92525,6.4625,0.0114211,0.0281923,-0.0180313,0.0396926,-7.91103e-05,-1.00305,0.0387593,281,375,-23.1208,42.3564,34.2907,17.1319,64.0706,-24.4999
-59.2693,43.3087,3.51216,-1.73831,-3.98893,6.23463,0.0123768,0.0220097,-0.00644923,0.0252425,0.00914399,-1.10613,0.0384497,288,375,-23.1071,42.8919,34.2852,17.4028,63.7271,-24.5288
-58.5296,43.3064,3.53331,-1.76949,-4.04718,6.05694,0.0143153,0.0162607,0.00179513,0.0173297,0.0132463,1.03368,0.0372671,295,375,-23.1583,43.3993,34.0429,17.6948,63.2796,-24.5492
-57.781,43.3142,3.62902,-1.80731,-4.10515,5.87479,0.0171887,0.0110265,0.0064869,0.021289,0.00692614,0.563685,0.0359112,302,375,-23.2717,43.8653,33.6439,17.9452,62.7284,-24.6475
-57.026,43.3312,3.77925,-1.83425,-4.16474,5.75254,0.0211658,0.00641905,0.00865596,0.0251631,0.00242174,0.432622,0.0345589,309,375,-23.3524,44.3602,33.1162,18.2049,62.1012,-24.8379
-56.2714,43.3519,3.92835,-1.82821,-4.22301,5.76069,0.0260266,0.00212926,0.00949641,0.0293407,-0.00118485,0.335771,0.0333811,316,375,-23.2675,44.8808,32.5646,18.5497,61.4757,-25.0999
-55.5323,43.3602,3.94591,-1.78088,-4.27609,5.89412,0.0309429,-0.00188111,0.0093151,0.0334022,-0.00434038,0.25812,0.0326876,323,375,-22.9269,45.3895,32.2651,19.0321,61.0355,-25.3264
-54.8002,43.3608,3.90519,-1.74141,-4.32708,5.95409,0.0354868,-0.00627149,0.00809673,0.0370017,-0.00778644,0.184968,0.032248,330,375,-22.5766,45.8022,32.1605,19.5073,60.6787,-25.4962
-54.0621,43.3637,3.91693,-1.72926,-4.38206,5.86926,0.0395505,-0.0124086,0.00731637,0.0405611,-0.0134192,0.137255,0.0318296,337,375,-22.3261,46.1955,32.0921,19.8855,60.2504,-25.6308
-53.3182,43.368,3.97996,-1.72006,-4.44362,5.75041,0.043635,-0.0181997,0.00529596,0.0440853,-0.01865,0.0848237,0.0318582,344,375,-22.0679,46.7181,32.0094,20.2592,59.7524,-25.7118
